start,stop,width
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,7,2
8,8,1
9,10,2
11,12,2
13,13,1
14,15,2
16,17,2
18,19,2
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,27,2
28,28,1
29,30,2
31,31,1
32,32,1
33,33,1
34,34,1
35,36,2
37,37,1
38,38,1
39,39,1
40,42,3
43,43,1
44,46,3
47,47,1
48,50,3
51,53,3
54,54,1
55,57,3
58,58,1
59,62,4
63,68,6
69,69,1
70,72,3
73,76,4
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,93,3
94,94,1
95,95,1
96,96,1
97,98,2
99,100,2
101,101,1
102,102,1
103,109,7
110,113,4
114,120,7
121,124,4
125,131,7
132,132,1
133,137,5
138,139,2
140,143,4
144,144,1
145,148,4
149,149,1
150,154,5
155,156,2
157,157,1
158,158,1
159,160,2
161,161,1
162,162,1
163,168,6
169,170,2
171,171,1
172,172,1
173,174,2
175,176,2
177,177,1
178,181,4
182,182,1
183,183,1
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,190,2
191,246,56
247,248,2
249,250,2
251,252,2
253,254,2
255,256,2
257,258,2
259,259,1
260,260,1
261,261,1
262,263,2
264,264,1
265,265,1
266,269,4
270,270,1
271,274,4
275,275,1
276,277,2
278,278,1
279,282,4
283,283,1
284,286,3
287,288,2
289,289,1
290,292,3
293,293,1
294,296,3
297,297,1
298,300,3
301,302,2
303,308,6
309,312,4
313,318,6
319,324,6
